mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.341570329666138,1.1808227616234905,0.05717124938964844,0.006970103751250194,100,5,2,log2,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",-6.658804806785729,-4.723722671830751,-4.542942431531918,-6.465204295874596,-6.562503612956131,-5.790635563795825,0.9486392744796472,19
8.446092224121093,4.058878905241062,0.19520215988159179,0.03141949231113389,300,2,1,sqrt,20,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",-6.567788105977324,-4.6568721021830575,-4.5967754608448175,-6.425618575185431,-6.665213594480279,-5.782453567734182,0.9468308230446523,16
4.033997631072998,1.8731476471779078,0.09399762153625488,0.0067831060617075285,300,5,2,log2,10,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",-6.5608509413520055,-4.648357251380459,-4.391247877461384,-6.65480827697365,-6.3173218305275345,-5.714517235539008,0.9850421584668151,1
6.018813943862915,2.878350806793136,0.1477367877960205,0.010204116158683567,300,5,2,log2,15,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15}",-6.586504234578593,-4.668008299571768,-4.566939405412676,-6.451314249942262,-6.52514102715192,-5.759581443331443,0.9340561025541722,11
4.511135768890381,2.2981642174627783,0.11033964157104492,0.013977686639678332,200,10,2,sqrt,30,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",-6.5889370888881365,-4.607892913646652,-4.608033300031115,-6.436618468947998,-6.618784483331391,-5.7720532509690585,0.9524821941259398,15
2.8611454010009765,1.3618905119893923,0.06362700462341309,0.004560794645802791,200,5,5,log2,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 10}",-6.551752083614948,-4.715308020687623,-4.382861571960947,-6.632419824720124,-6.34747638249101,-5.72596357669493,0.9711040524601372,6
6.855389785766602,3.416498807956325,0.15583548545837403,0.00527643080986014,500,2,5,log2,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 10}",-6.566616174908857,-4.679165063201384,-4.4127145302014155,-6.589810030768209,-6.329121408027613,-5.715485441421496,0.9629733211227746,3
4.087950801849365,2.027713410157163,0.09986338615417481,0.012310390076805539,200,2,1,sqrt,15,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",-6.575503946397024,-4.6487325406228175,-4.57917547986778,-6.390754235193544,-6.550966373330643,-5.749026515082361,0.9292131318813203,10
2.3890332221984862,1.1552726816293823,0.05964164733886719,0.0059835138183696405,100,5,1,sqrt,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",-6.742826414277218,-4.577587984426247,-4.579558029573417,-6.532171885188423,-6.679291037049842,-5.822287070103029,1.0177854603288763,32
12.64917869567871,7.493353892015852,0.17675585746765138,0.015841329351328377,300,5,5,0.5,20,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 20}",-6.774258046108693,-4.811518051161576,-4.951683122050241,-6.074755892116135,-6.469787564435728,-5.816400535174475,0.7960751375286877,29
21.754135417938233,12.76741419341954,0.19258418083190917,0.014346293390410767,300,10,2,0.8,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': None}",-7.345897932698395,-5.118193452977972,-5.158908001373793,-6.113952233469844,-6.462313135629703,-6.039852951229941,0.8384792233616294,43
2.5264854431152344,1.3052465661374069,0.06030049324035645,0.006971873886366518,100,5,2,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",-6.5894231893897794,-4.676428892383119,-4.575784578432045,-6.442116230949345,-6.684149646807948,-5.793580507592448,0.9568837136045238,23
7.020060014724732,3.4490747196565565,0.16260914802551268,0.009219886020293272,500,2,1,log2,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10}",-6.550337872418256,-4.654786704560891,-4.451194518766765,-6.6113074344329545,-6.340709405718912,-5.7216671871795555,0.9605938692098493,5
5.306671476364135,2.6290504188830246,0.07075605392456055,0.009054697708795127,200,5,5,0.5,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 10}",-6.659170559544382,-4.753269006161642,-5.057176859580139,-6.21881111347103,-6.3143847433115905,-5.800562456413756,0.7517444875654701,26
20.75781378746033,12.012964904770136,0.1920393466949463,0.023695363402191746,300,10,5,0.8,20,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.8, 'max_depth': 20}",-7.244407205583997,-5.094852344959621,-5.191877440681576,-6.16595492692332,-6.4887267063235,-6.037163724894404,0.8099867604618773,42
2.421786069869995,1.1719211449572748,0.06117849349975586,0.009401469941977155,100,5,1,log2,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",-6.742826414277218,-4.577587984426247,-4.579558029573417,-6.532171885188423,-6.679291037049842,-5.822287070103029,1.0177854603288763,32
8.966793775558472,5.523570282330528,0.10474667549133301,0.008187171825425948,300,2,2,0.5,10,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 10}",-6.659008079878731,-4.7764761435004255,-5.0073660227223,-6.179041034815583,-6.29689691146166,-5.783757638475739,0.7487354891028678,18
15.694106483459473,8.625517952084632,0.2982633590698242,0.048598909002479096,500,2,2,log2,,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",-6.6724771181345846,-4.663955800669192,-4.616624307851945,-6.495843655652436,-6.636136878087147,-5.817007552079061,0.962711562321649,30
