group,mae_mean,mae_std,delta_mae
all_features,3.717564041471255,0.5940517411680869,0.0
temporal,3.743571309361864,0.5962562663699841,0.0260072678906087
spatial,3.6791910072475593,0.5763683990837256,-0.03837303422369587
weather,3.717130931227028,0.5838584106241465,-0.00043311024422720834
calendar,3.7364807323092415,0.5936537648730257,0.018916690837986305
covid,3.719950022709444,0.5941215140511379,0.0023859812381887835
lag,5.625738726111903,0.851765136284357,1.908174684640648
