mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8882350444793701,0.021186293616419695,0.010122108459472656,0.0008819516116334379,0.6,1.0,0.0,200,1,8,0.03,0.8,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-4.667297835383213,-3.3942417878784057,-3.097985085472689,-4.311650438639252,-4.224487844291631,-3.9391325983330376,0.5924283760759421,13
1.347822618484497,0.11644362864959043,0.011177158355712891,0.0014287945107390972,0.7,1.0,0.1,200,3,10,0.1,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-4.961543784807204,-4.160058663572781,-3.3048455299483988,-4.685063980397815,-4.491936841776847,-4.320689760100609,0.571056891296784,36
0.17289047241210936,0.00571261960569222,0.006625699996948242,0.00040502867642394505,0.6,1.0,0.01,100,1,4,0.1,0.9,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-4.792707115004445,-3.1444509403889596,-2.9972921955108727,-4.133118078632515,-4.153937961750012,-3.844301258257361,0.6761624853226874,8
0.5114845752716064,0.012170215251386876,0.00842890739440918,0.0005660123471173446,1.0,0.5,0.0,200,1,6,0.01,0.6,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-4.414537903583959,-3.109276487219513,-3.014789427379576,-4.359196117035981,-4.263514774390753,-3.8322629419219565,0.6314512183349412,5
1.7982895851135254,0.08390970436798975,0.014213657379150391,0.0004740028450576289,0.6,1.0,0.01,500,7,8,0.03,0.9,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-4.845611326629749,-3.722638244456839,-3.2625213227388787,-4.519576714718497,-4.272959809809845,-4.124661483670762,0.566149706574407,23
2.4454305171966553,0.9612744279889613,0.01610560417175293,0.0009631050802224701,0.6,0.5,0.0,500,3,8,0.05,0.9,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-4.9024762651509945,-3.902025503507437,-3.399433650683016,-4.699329212911629,-4.436426173893215,-4.267938161229258,0.5486924845725296,33
0.49732556343078616,0.0122139859082037,0.009346914291381837,0.0004982835001775325,0.6,1.0,0.1,300,1,4,0.1,0.9,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-5.465294895454269,-3.6759824724566603,-3.113957069341415,-4.326313930206034,-4.297635489482992,-4.1758367713882745,0.78455380676595,29
3.557781934738159,0.5565349891041961,0.013271522521972657,0.0010417828778425606,1.0,0.5,0.01,300,3,12,0.1,0.9,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-4.895393529836932,-3.959157227338514,-3.3558516044406166,-4.883342413243866,-4.590488570548414,-4.336846669081669,0.5966518313859394,38
1.1891290187835692,0.052235304271503954,0.011323022842407226,0.0003750522163295585,0.7,0.5,0.0,300,3,8,0.03,0.6,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-4.944337219541686,-3.6421966044987935,-3.247266173991112,-4.3763627818493,-4.213863314886882,-4.084805218953554,0.5895474708738632,20
0.9457915306091309,0.9818629387549995,0.011665773391723634,0.0015310077331942794,1.0,0.5,0.1,300,3,4,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-5.32069721884903,-3.6188119575676994,-3.2435727475888285,-4.315008556288484,-4.335905927787657,-4.16679928161634,0.7119944995403338,27
2.1197899341583253,0.2719486176677246,0.011348485946655273,0.00042587442194454183,0.8,1.0,0.01,200,5,12,0.2,0.8,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-5.257349817783489,-3.9030844134465967,-3.4752451171765246,-4.945385442385619,-4.623438293277999,-4.440900616814046,0.6597197970213188,44
3.289126396179199,0.3281412336236239,0.015497159957885743,0.0009291135184900438,0.6,0.5,0.1,500,3,10,0.1,1.0,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-5.272999267597283,-4.3420824442703685,-3.5464599783797337,-5.006075249926117,-4.7463827249642145,-4.582799933027543,0.6023689660244593,46
2.5336246490478516,1.0508414938510433,0.011625289916992188,0.0008549075229521066,0.9,2.0,0.01,200,7,12,0.05,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-4.797316302772588,-3.6383335560993877,-3.1942113181264515,-4.519514012058285,-4.394061513224562,-4.108687340456255,0.5969800496161715,22
2.718375730514526,0.4578260717627565,0.01399059295654297,0.001823929277853788,0.8,1.0,0.01,300,7,12,0.2,0.9,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 12, 'learning_rate': 0.2, 'colsample_bytree': 0.9}",-5.156388463590753,-4.378137234155269,-3.596320673586209,-5.02008062787595,-4.844068566350536,-4.598999113111743,0.5660734209764379,47
0.47102885246276854,0.00824830235652116,0.009593629837036132,0.0006106299383904007,0.9,1.0,0.0,300,5,4,0.05,0.7,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-4.919146867959691,-3.293254944664007,-3.0735795803307293,-4.2064932201498015,-4.136930803824149,-3.9258810833856757,0.6688042700380328,11
0.7715855121612549,0.03324072148609754,0.009940910339355468,0.0006347025784947503,0.9,2.0,0.0,200,3,8,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-4.70216646346443,-3.9521293129033372,-3.3348441774062456,-4.763227963794329,-4.449860500472571,-4.240445683608183,0.5354591252750603,31
0.3255308628082275,0.006084982216118304,0.008712339401245116,0.0019459538434351924,0.7,2.0,0.01,200,5,4,0.01,0.7,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-4.037012041752442,-3.048872195856302,-2.9497022242954243,-4.305419140270782,-4.246814605181325,-3.717564041471255,0.5940517411680869,1
2.101164436340332,0.9591754806243538,0.011814212799072266,0.001111136179722918,0.8,0.5,0.0,200,7,10,0.01,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-4.630475767624342,-3.211395750017137,-3.0693823216048766,-4.443519430602064,-4.278043907857266,-3.926563435541137,0.653069502429042,12
1.235843801498413,0.025375982360916913,0.011841535568237305,0.0007525122033403099,0.6,1.0,0.01,300,1,8,0.03,0.9,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-4.648079297376177,-3.5310466456812657,-3.1883843874535485,-4.451278632439372,-4.234582579515595,-4.010674308493192,0.557988461017438,17
0.25829806327819826,0.007019971960011658,0.00833578109741211,0.0023957278032700397,0.6,2.0,0.01,100,3,6,0.1,0.9,"{'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-4.532166958204414,-3.535443943785571,-3.0775003683067927,-4.343154055976978,-4.234276329606399,-3.9445083311760305,0.5490470015303056,14
